name,language,tools_tech,brief,scale,domain
Inventory Management System,java,"java, MySQL/SQLite for database, JavaFX/Swing for GUI.","This project involves creating a system to manage inventory for a store, including functionalities for adding/removing items, tracking stock levels, generating reports, and managing suppliers. It requires knowledge of Java programming, database management, and GUI development.",2,full stack development
Library Management System,java,"Java, MySQL/SQLite, JavaFX/Swing","The Library Management System enables efficient management of library resources such as books, patrons, borrowing, returning, and overdue fines. Users can search for books, check availability, and manage their borrowing history. This project requires understanding of database management, object-oriented programming concepts, and GUI development",2,full stack development
Online Quiz Application,java,"Java, Servlets/JSP, MySQL/SQLite, HTML/CSS/JavaScrip"," The Online Quiz Application allows users to create and take online quizzes with multiple-choice questions. Features include user authentication, quiz creation, taking quizzes, scoring, and leaderboards. This project involves backend development using Java Servlets or Spring Boot, database management, and frontend development with HTML/CSS/JavaScript",2,full stack development
Student Management System,java,"Java, MySQL/SQLite, JavaFX/Swing.","The Student Management System helps educational institutions manage student records, grades, attendance, and scheduling. It includes features for student registration, course enrollment, grade tracking, and generating reports. This project requires knowledge of database management, Java programming, and GUI development",2,full stack development
Hotel Management System,java,"Java, MySQL/SQLite, JavaFX/Swing","The Hotel Management System facilitates efficient management of hotel bookings, room assignments, customer check-ins, and billing. It includes features for room availability checking, reservation management, customer profiles, and billing invoices. This project involves backend and frontend development using Java, database management, and GUI developmentThe E-commerce Website project involves building a full-fledged online shopping platform with features like product listings, user accounts, shopping cart, checkout, payment processing, order management, and search functionality. This project requires extensive knowledge of backend development using Spring Boot, database design, RESTful APIs, and frontend development with modern frameworks.",2,full stack development
E-commerce Website,java,"Java, Spring Boot, MySQL/PostgreSQL, HTML/CSS/JavaScript, Thymeleaf or Angular/React/Vue.js for frontend","The E-commerce Website project involves building a full-fledged online shopping platform with features like product listings, user accounts, shopping cart, checkout, payment processing, order management, and search functionality. This project requires extensive knowledge of backend development using Spring Boot, database design, RESTful APIs, and frontend development with modern frameworks.",3,full stack development
Banking Application,java,"Java, Spring Boot, MySQL/PostgreSQL, HTML/CSS/JavaScript, Thymeleaf or Angular/React/Vue.js for frontend.","The Banking Application project aims to create a comprehensive banking system for managing accounts, transactions, transfers, balance inquiries, and account statements. It requires robust security measures, transaction handling, user authentication, and integration with payment gateways. This project involves complex backend development using Spring Boot, database management, and frontend development with modern frameworks.",3,full stack development
Social Media Platform,java,"Java, Spring Boot, MySQL/PostgreSQL, HTML/CSS/JavaScript, Angular/React/Vue.js",,3,full stack development
Appointment Scheduler:,java,"Java, Spring Boot, MySQL/PostgreSQL, HTML/CSS/JavaScript, Angular/React/Vue.js."," The Appointment Scheduler project enables users to schedule appointments for various services such as doctor appointments, salon bookings, or consulting sessions. Features include calendar integration, availability checking, appointment reminders, and rescheduling options. This project involves backend development using Spring Boot, database management, and frontend development with modern frameworks",2,full stack development
Expense Tracker,java,"Java, Spring Boot, MySQL/PostgreSQL, HTML/CSS/JavaScript, Angular/React/Vue.js","The Expense Tracker project helps users track their expenses, categorize spending, set budgets, and generate reports to manage their finances effectively. Features include expense logging, category management, budget tracking, and data visualization. This project requires backend development using Spring Boot, database design, and frontend development with modern frameworks.",2,full stack development
Task Management System,java," Java, Spring Boot, MySQL/PostgreSQL, HTML/CSS/JavaScript, Angular/React/Vue.js","The Task Management System allows teams to create, assign, prioritize, and track tasks within projects. Features include task creation, assignment, deadlines, status tracking, and notifications. This project requires backend development using Spring Boot, database management, and frontend development with modern frameworks",2,
Blogging Platform,java," Java, Spring Boot, MySQL/PostgreSQL, HTML/CSS/JavaScript, Angular/React/Vue.js","The Blogging Platform project enables users to write, publish, and share blog posts with features like rich text editing, tagging, commenting, and social sharing. It requires backend development using Spring Boot, database design, user authentication, and frontend development with modern frameworks",2,full stack development
Recipe Management System,java,"Java, Spring Boot, MySQL/PostgreSQL, HTML/CSS/JavaScript, Angular/React/Vue.js","The Recipe Management System helps users organize, discover, and share recipes with features like recipe categorization, search, ingredient management, and user ratings. This project involves backend development using Spring Boot, database management, and frontend development with modern frameworks.",2,full stack development
Online Ticket Booking System,java,,"The Online Ticket Booking System facilitates booking tickets for movies, events, or transportation with features like seat selection, pricing, availability checking, and secure payment processing. This project requires complex backend development using Spring Boot, database design, payment gateway integration, and frontend development with modern frameworks",3,full stack development
Weather Application,java,"Java, Spring Boot, HTML/CSS/JavaScript, Angular/React/Vue.js, Weather API (such as OpenWeatherMap).","The Weather Application provides users with weather forecasts, current conditions, and alerts for specified locations. Features include real-time updates, location-based weather, and interactive visualization. This project involves backend development using Spring Boot, integration with weather APIs, and frontend development with modern frameworks",2,full stack development
Employee Management System,java,"Java, Spring Boot, MySQL/PostgreSQL, HTML/CSS/JavaScript, Angular/React/Vue.js",,2,full stack development
